Date,Latitude,Longitude,Altitude,NO2,PM2.5,O3,PM10
2023-02-22 09:15:00+00:00,46.5592,15.656191,270.0,35.0,23.0,0,88.0
2023-02-22 09:35:00+00:00,46.5592,15.656191,270.0,35.0,23.0,0,88.0
2023-02-16 17:15:00+00:00,46.5592,15.656191,270.0,86.0,51.0,0,86.0
2023-02-16 17:35:00+00:00,46.5592,15.656191,270.0,86.0,51.0,0,86.0
2023-10-24 10:35:00+00:00,46.5592,15.656191,270.0,68.0,19.0,0,74.0
2023-12-06 21:35:00+00:00,46.5592,15.656191,270.0,42.0,69.0,0,71.0
2023-09-11 08:35:00+00:00,46.5592,15.656191,270.0,27.0,21.0,0,70.0
2023-12-07 00:35:00+00:00,46.5592,15.656191,270.0,34.0,68.0,0,70.0
2023-02-18 11:15:00+00:00,46.5592,15.656191,270.0,70.0,42.0,0,69.0
2023-02-17 08:35:00+00:00,46.5592,15.656191,270.0,82.0,39.0,0,69.0
2023-11-19 21:35:00+00:00,46.5592,15.656191,270.0,47.0,60.0,0,69.0
2023-10-20 20:35:00+00:00,46.5592,15.656191,270.0,41.0,23.0,0,69.0
2023-02-17 08:15:00+00:00,46.5592,15.656191,270.0,82.0,39.0,0,69.0
2023-02-18 11:35:00+00:00,46.5592,15.656191,270.0,70.0,42.0,0,69.0
2023-02-18 12:35:00+00:00,46.5592,15.656191,270.0,71.0,44.0,0,68.0
2023-03-09 08:35:00+00:00,46.5592,15.656191,270.0,86.0,19.0,0,68.0
2023-03-09 08:15:00+00:00,46.5592,15.656191,270.0,86.0,19.0,0,68.0
2023-02-18 12:15:00+00:00,46.5592,15.656191,270.0,71.0,44.0,0,68.0
2023-02-16 10:35:00+00:00,46.5592,15.656191,270.0,54.0,41.0,0,67.0
2023-02-16 10:15:00+00:00,46.5592,15.656191,270.0,54.0,41.0,0,67.0
2023-02-16 11:15:00+00:00,46.5592,15.656191,270.0,44.0,45.0,0,66.0
2023-02-16 18:15:00+00:00,46.5592,15.656191,270.0,58.0,45.0,0,66.0
2023-02-16 18:35:00+00:00,46.5592,15.656191,270.0,58.0,45.0,0,66.0
2023-02-18 10:35:00+00:00,46.5592,15.656191,270.0,70.0,39.0,0,66.0
2023-02-18 10:15:00+00:00,46.5592,15.656191,270.0,70.0,39.0,0,66.0
2023-10-20 21:35:00+00:00,46.5592,15.656191,270.0,37.0,23.0,0,66.0
2023-10-20 22:35:00+00:00,46.5592,15.656191,270.0,33.0,23.0,0,66.0
2023-02-16 11:35:00+00:00,46.5592,15.656191,270.0,44.0,45.0,0,66.0
2023-12-06 18:35:00+00:00,46.5592,15.656191,270.0,56.0,58.0,0,66.0
2023-12-07 01:35:00+00:00,46.5592,15.656191,270.0,31.0,63.0,0,65.0
2023-02-16 12:35:00+00:00,46.5592,15.656191,270.0,42.0,43.0,0,64.0
2023-02-16 16:35:00+00:00,46.5592,15.656191,270.0,64.0,41.0,0,64.0
2023-02-16 16:15:00+00:00,46.5592,15.656191,270.0,64.0,41.0,0,64.0
2023-02-16 12:15:00+00:00,46.5592,15.656191,270.0,42.0,43.0,0,64.0
2023-12-06 22:35:00+00:00,46.5592,15.656191,270.0,32.0,61.0,0,64.0
2023-10-20 19:35:00+00:00,46.5592,15.656191,270.0,59.0,22.0,0,64.0
2023-02-17 09:35:00+00:00,46.5592,15.656191,270.0,71.0,38.0,0,63.0
2023-02-17 09:15:00+00:00,46.5592,15.656191,270.0,71.0,38.0,0,63.0
2023-10-20 23:35:00+00:00,46.5592,15.656191,270.0,42.0,23.0,0,63.0
2023-10-20 18:35:00+00:00,46.5592,15.656191,270.0,30.0,20.0,0,62.0
2023-10-24 11:35:00+00:00,46.5592,15.656191,270.0,54.0,18.0,0,62.0
2023-02-23 11:35:00+00:00,46.5592,15.656191,270.0,50.0,34.0,0,61.0
2023-02-23 11:15:00+00:00,46.5592,15.656191,270.0,50.0,34.0,0,61.0
2023-12-05 15:35:00+00:00,46.5592,15.656191,270.0,44.0,30.0,0,61.0
2023-03-16 20:15:00+00:00,46.5592,15.656191,270.0,69.0,27.0,0,60.0
2023-03-16 20:35:00+00:00,46.5592,15.656191,270.0,69.0,27.0,0,60.0
2023-12-08 14:35:00+00:00,46.5592,15.656191,270.0,,36.0,0,60.0
2023-11-27 11:35:00+00:00,46.5592,15.656191,270.0,68.0,25.0,0,60.0
2023-12-09 18:35:00+00:00,46.5592,15.656191,270.0,39.0,55.0,0,59.0
2023-06-21 10:35:00+00:00,46.5592,15.656191,270.0,44.0,28.0,0,59.0
2023-03-07 17:15:00+00:00,46.5592,15.656191,270.0,53.0,38.0,0,59.0
2023-03-07 17:35:00+00:00,46.5592,15.656191,270.0,53.0,38.0,0,59.0
2023-06-23 09:35:00+00:00,46.5592,15.656191,270.0,44.0,26.0,0,59.0
2023-02-23 12:15:00+00:00,46.5592,15.656191,270.0,39.0,35.0,0,58.0
2023-02-23 12:35:00+00:00,46.5592,15.656191,270.0,39.0,35.0,0,58.0
2023-11-19 20:35:00+00:00,46.5592,15.656191,270.0,46.0,49.0,0,58.0
2023-10-20 14:35:00+00:00,46.5592,15.656191,270.0,26.0,17.0,0,58.0
2023-10-24 15:35:00+00:00,46.5592,15.656191,270.0,31.0,16.0,0,58.0
2023-02-18 13:35:00+00:00,46.5592,15.656191,270.0,55.0,37.0,0,58.0
2023-02-18 13:15:00+00:00,46.5592,15.656191,270.0,55.0,37.0,0,58.0
2023-03-13 20:15:00+00:00,46.5592,15.656191,270.0,69.0,27.0,0,57.0
2023-02-17 10:35:00+00:00,46.5592,15.656191,270.0,60.0,34.0,0,57.0
2023-06-23 10:35:00+00:00,46.5592,15.656191,270.0,43.0,23.0,0,57.0
2023-02-17 10:15:00+00:00,46.5592,15.656191,270.0,60.0,34.0,0,57.0
2023-02-24 09:35:00+00:00,46.5592,15.656191,270.0,57.0,37.0,0,57.0
2023-02-24 09:15:00+00:00,46.5592,15.656191,270.0,57.0,37.0,0,57.0
2023-03-13 20:35:00+00:00,46.5592,15.656191,270.0,69.0,27.0,0,57.0
2023-03-04 10:35:00+00:00,46.5592,15.656191,270.0,34.0,38.0,0,56.0
2023-03-04 10:15:00+00:00,46.5592,15.656191,270.0,34.0,38.0,0,56.0
2023-02-18 09:35:00+00:00,46.5592,15.656191,270.0,66.0,30.0,0,56.0
2023-02-18 09:15:00+00:00,46.5592,15.656191,270.0,66.0,30.0,0,56.0
2023-11-19 23:35:00+00:00,46.5592,15.656191,270.0,43.0,50.0,0,56.0
2023-02-15 19:35:00+00:00,46.5592,15.656191,270.0,47.0,47.0,0,56.0
2023-03-10 09:15:00+00:00,46.5592,15.656191,270.0,66.0,20.0,0,56.0
2023-02-23 13:35:00+00:00,46.5592,15.656191,270.0,45.0,37.0,0,56.0
2023-02-23 13:15:00+00:00,46.5592,15.656191,270.0,45.0,37.0,0,56.0
2023-03-10 09:35:00+00:00,46.5592,15.656191,270.0,66.0,20.0,0,56.0
2023-12-08 13:35:00+00:00,46.5592,15.656191,270.0,53.0,39.0,0,56.0
2023-02-15 20:15:00+00:00,46.5592,15.656191,270.0,40.0,49.0,0,56.0
2023-02-15 20:35:00+00:00,46.5592,15.656191,270.0,40.0,49.0,0,56.0
2023-12-10 23:35:00+00:00,46.5592,15.656191,270.0,36.0,54.0,0,56.0
2023-02-24 10:15:00+00:00,46.5592,15.656191,270.0,46.0,32.0,0,55.0
2023-02-24 10:35:00+00:00,46.5592,15.656191,270.0,46.0,32.0,0,55.0
2023-02-16 14:35:00+00:00,46.5592,15.656191,270.0,43.0,36.0,0,55.0
2023-12-09 17:35:00+00:00,46.5592,15.656191,270.0,37.0,53.0,0,55.0
2023-02-16 14:15:00+00:00,46.5592,15.656191,270.0,43.0,36.0,0,55.0
2023-06-22 22:35:00+00:00,46.5592,15.656191,270.0,40.0,27.0,0,55.0
2023-10-20 17:35:00+00:00,46.5592,15.656191,270.0,34.0,18.0,0,55.0
2023-02-16 08:35:00+00:00,46.5592,15.656191,270.0,50.0,39.0,0,54.0
2023-02-18 18:35:00+00:00,46.5592,15.656191,270.0,69.0,36.0,0,54.0
2023-02-18 18:15:00+00:00,46.5592,15.656191,270.0,69.0,36.0,0,54.0
2023-02-24 08:35:00+00:00,46.5592,15.656191,270.0,61.0,39.0,0,54.0
2023-02-16 08:15:00+00:00,46.5592,15.656191,270.0,50.0,39.0,0,54.0
2023-11-20 00:35:00+00:00,46.5592,15.656191,270.0,43.0,49.0,0,54.0
2023-10-24 13:35:00+00:00,46.5592,15.656191,270.0,63.0,21.0,0,54.0
2023-02-16 13:35:00+00:00,46.5592,15.656191,270.0,44.0,34.0,0,54.0
2023-02-16 13:15:00+00:00,46.5592,15.656191,270.0,44.0,34.0,0,54.0
2023-02-24 08:15:00+00:00,46.5592,15.656191,270.0,61.0,39.0,0,54.0
2023-12-08 15:35:00+00:00,46.5592,15.656191,270.0,50.0,36.0,0,54.0
2023-02-17 07:35:00+00:00,46.5592,15.656191,270.0,74.0,34.0,0,53.0
2023-02-19 18:35:00+00:00,46.5592,15.656191,270.0,79.0,27.0,0,53.0
2023-03-07 16:15:00+00:00,46.5592,15.656191,270.0,47.0,36.0,0,53.0
2023-10-24 14:35:00+00:00,46.5592,15.656191,270.0,46.0,17.0,0,53.0
2023-03-07 16:35:00+00:00,46.5592,15.656191,270.0,47.0,36.0,0,53.0
2023-03-05 20:35:00+00:00,46.5592,15.656191,270.0,54.0,38.0,0,53.0
2023-03-05 20:15:00+00:00,46.5592,15.656191,270.0,54.0,38.0,0,53.0
2023-02-23 14:15:00+00:00,46.5592,15.656191,270.0,47.0,35.0,0,53.0
2023-03-08 09:35:00+00:00,46.5592,15.656191,270.0,49.0,25.0,0,53.0
2023-02-19 18:15:00+00:00,46.5592,15.656191,270.0,79.0,27.0,0,53.0
2023-03-08 09:15:00+00:00,46.5592,15.656191,270.0,49.0,25.0,0,53.0
2023-06-23 08:35:00+00:00,46.5592,15.656191,270.0,36.0,24.0,0,53.0
2023-02-23 14:35:00+00:00,46.5592,15.656191,270.0,47.0,35.0,0,53.0
2023-02-17 07:15:00+00:00,46.5592,15.656191,270.0,74.0,34.0,0,53.0
2023-03-07 15:35:00+00:00,46.5592,15.656191,270.0,47.0,34.0,0,53.0
2023-03-07 15:15:00+00:00,46.5592,15.656191,270.0,47.0,34.0,0,53.0
2023-02-24 21:35:00+00:00,46.5592,15.656191,270.0,19.0,20.0,0,53.0
2023-02-24 21:15:00+00:00,46.5592,15.656191,270.0,19.0,20.0,0,53.0
2023-02-17 11:35:00+00:00,46.5592,15.656191,270.0,54.0,29.0,0,52.0
2023-02-17 11:15:00+00:00,46.5592,15.656191,270.0,54.0,29.0,0,52.0
2023-02-21 17:15:00+00:00,46.5592,15.656191,270.0,68.0,29.0,0,52.0
2023-02-21 17:35:00+00:00,46.5592,15.656191,270.0,68.0,29.0,0,52.0
2023-10-21 00:35:00+00:00,46.5592,15.656191,270.0,18.0,21.0,0,52.0
2023-02-22 18:35:00+00:00,46.5592,15.656191,270.0,56.0,38.0,0,51.0
2023-02-22 18:15:00+00:00,46.5592,15.656191,270.0,56.0,38.0,0,51.0
2023-02-18 14:35:00+00:00,46.5592,15.656191,270.0,53.0,30.0,0,51.0
2023-02-16 19:35:00+00:00,46.5592,15.656191,270.0,49.0,36.0,0,51.0
2023-02-18 14:15:00+00:00,46.5592,15.656191,270.0,53.0,30.0,0,51.0
2023-12-08 16:35:00+00:00,46.5592,15.656191,270.0,57.0,34.0,0,51.0
2023-02-24 19:35:00+00:00,46.5592,15.656191,270.0,73.0,30.0,0,51.0
2023-02-24 19:15:00+00:00,46.5592,15.656191,270.0,73.0,30.0,0,51.0
2023-12-09 16:35:00+00:00,46.5592,15.656191,270.0,38.0,49.0,0,51.0
2023-02-16 19:15:00+00:00,46.5592,15.656191,270.0,49.0,36.0,0,51.0
2023-02-21 08:35:00+00:00,46.5592,15.656191,270.0,77.0,25.0,0,51.0
2023-11-19 22:35:00+00:00,46.5592,15.656191,270.0,40.0,44.0,0,51.0
2023-02-21 08:15:00+00:00,46.5592,15.656191,270.0,77.0,25.0,0,51.0
2023-09-18 19:35:00+00:00,46.5592,15.656191,270.0,24.0,20.0,0,51.0
2023-02-16 09:15:00+00:00,46.5592,15.656191,270.0,47.0,35.0,0,50.0
2023-03-08 10:35:00+00:00,46.5592,15.656191,270.0,48.0,26.0,0,50.0
2023-03-07 14:35:00+00:00,46.5592,15.656191,270.0,45.0,31.0,0,50.0
2023-03-08 10:15:00+00:00,46.5592,15.656191,270.0,48.0,26.0,0,50.0
2023-06-22 20:35:00+00:00,46.5592,15.656191,270.0,38.0,24.0,0,50.0
2023-06-22 21:35:00+00:00,46.5592,15.656191,270.0,44.0,24.0,0,50.0
2023-03-07 14:15:00+00:00,46.5592,15.656191,270.0,45.0,31.0,0,50.0
2023-02-16 09:35:00+00:00,46.5592,15.656191,270.0,47.0,35.0,0,50.0
2023-12-09 19:35:00+00:00,46.5592,15.656191,270.0,36.0,48.0,0,50.0
2023-12-09 15:35:00+00:00,46.5592,15.656191,270.0,,47.0,0,50.0
2023-02-22 19:15:00+00:00,46.5592,15.656191,270.0,44.0,35.0,0,50.0
2023-12-09 11:35:00+00:00,46.5592,15.656191,270.0,32.0,45.0,0,50.0
2023-02-22 19:35:00+00:00,46.5592,15.656191,270.0,44.0,35.0,0,50.0
2023-06-22 18:35:00+00:00,46.5592,15.656191,270.0,36.0,24.0,0,50.0
2023-12-06 17:35:00+00:00,46.5592,15.656191,270.0,56.0,45.0,0,50.0
2023-10-24 22:35:00+00:00,46.5592,15.656191,270.0,29.0,20.0,0,50.0
2023-10-24 21:35:00+00:00,46.5592,15.656191,270.0,22.0,19.0,0,50.0
2023-02-15 21:15:00+00:00,46.5592,15.656191,270.0,31.0,44.0,0,49.0
2023-02-15 21:35:00+00:00,46.5592,15.656191,270.0,31.0,44.0,0,49.0
2023-12-09 10:35:00+00:00,46.5592,15.656191,270.0,36.0,42.0,0,49.0
2023-06-22 17:35:00+00:00,46.5592,15.656191,270.0,31.0,24.0,0,49.0
2023-09-12 08:35:00+00:00,46.5592,15.656191,270.0,24.0,23.0,0,49.0
2023-06-23 11:35:00+00:00,46.5592,15.656191,270.0,50.0,24.0,0,49.0
2023-11-27 09:35:00+00:00,46.5592,15.656191,270.0,,24.0,0,49.0
2023-03-06 20:35:00+00:00,46.5592,15.656191,270.0,36.0,39.0,0,48.0
2023-02-23 15:15:00+00:00,46.5592,15.656191,270.0,49.0,30.0,0,48.0
2023-02-23 15:35:00+00:00,46.5592,15.656191,270.0,49.0,30.0,0,48.0
2023-03-06 20:15:00+00:00,46.5592,15.656191,270.0,36.0,39.0,0,48.0
2023-09-18 20:35:00+00:00,46.5592,15.656191,270.0,36.0,19.0,0,48.0
2023-02-24 20:15:00+00:00,46.5592,15.656191,270.0,40.0,27.0,0,48.0
2023-09-13 20:35:00+00:00,46.5592,15.656191,270.0,64.0,27.0,0,48.0
2023-09-13 19:35:00+00:00,46.5592,15.656191,270.0,49.0,25.0,0,48.0
2023-03-06 08:15:00+00:00,46.5592,15.656191,270.0,41.0,26.0,0,48.0
2023-02-24 20:35:00+00:00,46.5592,15.656191,270.0,40.0,27.0,0,48.0
2023-03-06 08:35:00+00:00,46.5592,15.656191,270.0,41.0,26.0,0,48.0
2023-03-13 08:35:00+00:00,46.5592,15.656191,270.0,65.0,25.0,0,48.0
2023-03-13 08:15:00+00:00,46.5592,15.656191,270.0,65.0,25.0,0,48.0
2023-10-13 21:35:00+00:00,46.5592,15.656191,270.0,46.0,27.0,0,48.0
2023-06-22 19:35:00+00:00,46.5592,15.656191,270.0,20.0,23.0,0,48.0
2023-02-16 07:15:00+00:00,46.5592,15.656191,270.0,51.0,39.0,0,48.0
2023-02-16 07:35:00+00:00,46.5592,15.656191,270.0,51.0,39.0,0,48.0
2023-12-05 16:35:00+00:00,46.5592,15.656191,270.0,46.0,36.0,0,48.0
2023-12-09 20:35:00+00:00,46.5592,15.656191,270.0,34.0,46.0,0,48.0
2023-12-03 18:35:00+00:00,46.5592,15.656191,270.0,44.0,44.0,0,48.0
2023-03-03 16:35:00+00:00,46.5592,15.656191,270.0,45.0,28.0,0,47.0
2023-02-16 15:35:00+00:00,46.5592,15.656191,270.0,59.0,31.0,0,47.0
2023-03-04 18:15:00+00:00,46.5592,15.656191,270.0,54.0,32.0,0,47.0
